song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,artist_name,album_names,playlist
2:00 AM,57,190217,0.119,0.663,0.762,0,0,0.161,-3.327,1,0.0435,140.044,4,0.321,KONO,2:00 AM,Wake Up Happy
03:15,76,167018,0.385,0.651,0.654,0,1,0.181,-5.481,1,0.0466,141.975,4,0.539,Bazzi,COSMIC,Young & Free
06:30,74,213000,0.149,0.757,0.579,0,1,0.0543,-3.827,0,0.0809,99.968,4,0.56,Geko,06:30,Power Workout
06:30,74,213000,0.149,0.757,0.579,0,1,0.0543,-3.827,0,0.0809,99.968,4,0.56,Geko,06:30,Rap UK
3:00 PM,47,112519,0.81,0.548,0.438,0.282,10,0.0862,-6.364,1,0.161,180.008,4,0.447,Neotic,Hours,Chill Instrumental Beats
3,59,139521,0.875,0.709,0.293,0.0454,1,0.103,-11.215,1,0.241,84.971,4,0.383,digitalluc,re:ups,Chill Instrumental Beats
9.13,26,55720,0.975,0.289,0.451,0.942,2,0.222,-15.013,1,0.0538,131.72,3,0.59,Khalid,Suncity,United States Top 50
17,76,196489,0.00149,0.703,0.832,0.127,0,0.0696,-7.202,0,0.0689,122.029,4,0.667,MK,17,Running Workout Goals
18,53,205370,0.877,0.483,0.305,6.78E-05,11,0.126,-8.15,0,0.268,79.458,4,0.273,emawk,18,Low-Key
18,53,205370,0.877,0.483,0.305,6.78E-05,11,0.126,-8.15,0,0.268,79.458,4,0.273,emawk,18,Mellow Bars
21,54,194480,0.0586,0.501,0.9,0,11,0.218,-4.366,1,0.0433,160.096,4,0.943,Hunter Hayes,21,Pumped Pop
21,54,194480,0.0586,0.501,0.9,0,11,0.218,-4.366,1,0.0433,160.096,4,0.943,Hunter Hayes,21,Spin Fit
22,32,232120,0.00274,0.662,0.736,0.000844,7,0.0464,-6.511,1,0.0374,104.003,4,0.674,Taylor Swift,Red,A Perfect Day
