id,title,artist,top genre,year,energy,danceability,liveness,acousticness,speechiness,pop
1,"Hey, Soul Sister",Train,neo mellow,2010,89,67,8,19,4,83
2,Love The Way You Lie,Eminem,detroit hip hop,2010,93,75,52,24,23,82
3,TiK ToK,Kesha,dance pop,2010,84,76,29,10,14,80
4,Bad Romance,Lady Gaga,dance pop,2010,92,70,8,0,4,79
5,Just the Way You Are,Bruno Mars,pop,2010,84,64,9,2,4,78
6,Baby,Justin Bieber,canadian pop,2010,86,73,11,4,14,77
7,Dynamite,Taio Cruz,dance pop,2010,78,75,4,0,9,77
8,Secrets,OneRepublic,dance pop,2010,76,52,12,7,4,77
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,37,48,12,74,3,76
10,Only Girl (In The World),Rihanna,barbadian pop,2010,72,79,7,13,4,73
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,87,62,6,3,3,73
12,Marry You,Bruno Mars,pop,2010,83,62,10,33,4,73
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,82,77,70,18,5,73
14,Telephone,Lady Gaga,dance pop,2010,83,83,11,1,4,73
15,Like A G6,Far East Movement,dance pop,2010,84,44,12,1,45,72
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,75,78,36,20,3,72
17,Eenie Meenie,Sean Kingston,dance pop,2010,61,72,11,5,3,71
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,81,82,60,7,7,70
19,Alejandro,Lady Gaga,dance pop,2010,80,63,36,0,5,69
20,Your Love Is My Drug,Kesha,dance pop,2010,61,83,9,1,10,69
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,63,80,32,0,7,68
22,Whataya Want from Me,Adam Lambert,australian pop,2010,68,44,6,1,5,66
23,Take It Off,Kesha,dance pop,2010,68,73,9,0,3,66
24,Misery,Maroon 5,pop,2010,81,70,22,0,4,65
25,All The Right Moves,OneRepublic,dance pop,2010,95,53,28,26,5,65
26,Animal,Neon Trees,indie pop,2010,83,48,38,0,4,65
27,Naturally,Selena Gomez & The Scene,dance pop,2010,90,61,5,2,5,64
28,I Like It,Enrique Iglesias,dance pop,2010,94,65,6,2,9,63
29,Teenage Dream,Katy Perry,dance pop,2010,80,72,13,2,4,63
30,California Gurls,Katy Perry,dance pop,2010,75,79,18,0,5,62
31,3,Britney Spears,dance pop,2010,71,70,14,5,5,62
